title,date,adj close,volume,diff1_adj_close,target_1day,diff2_adj_close,target_2day,diff3_adj_close,target_3day,diff4_adj_close,target_4day,diff5_adj_close,target_5day,diff6_adj_close,target_6day,diff7_adj_close,target_7day,diff8_adj_close,target_8day,diff9_adj_close,target_9day,diff10_adj_close,target_10day,diff11_adj_close,target_11day,diff12_adj_close,target_12day,diff13_adj_close,target_13day,diff14_adj_close,target_14day
"Transaksi Perdana 2020, Yuk Simak Saham Rekomendasi Broker",2020-01-02,8195.400391,11059800.0,23.962890000000698,1,-71.88964899999883,0,-71.88964899999883,0,-71.88964899999883,0,-95.85253899999952,0,-215.66796899999918,0,-191.70507799999996,0,-287.5581059999995,0,-143.77929699999913,0,-143.77929699999913,0,-143.77929699999913,0,-71.88964899999883,0,-71.88964899999883,0,-119.81591799999842,0
"Harga Dipecah, Saham Unilever Mulai Diburu Investor",2020-01-02,8195.400391,11059800.0,23.962890000000698,1,-71.88964899999883,0,-71.88964899999883,0,-71.88964899999883,0,-95.85253899999952,0,-215.66796899999918,0,-191.70507799999996,0,-287.5581059999995,0,-143.77929699999913,0,-143.77929699999913,0,-143.77929699999913,0,-71.88964899999883,0,-71.88964899999883,0,-119.81591799999842,0
"Saham Gorengan Disikat, OJK Dukung Proses Hukum Jiwasraya",2020-01-03,8219.363281,8071700.0,-95.85253899999952,0,-95.85253899999952,0,-95.85253899999952,0,-119.81542900000022,0,-239.63085899999987,0,-215.66796800000066,0,-311.5209960000002,0,-167.74218699999983,0,-167.74218699999983,0,-167.74218699999983,0,-95.85253899999952,0,-95.85253899999952,0,-143.77880799999912,0,-167.74218699999983,0
"IHSG Masih Rentan, Simak Saham Potensi Cuan Hari Ini",2020-01-03,8219.363281,8071700.0,-95.85253899999952,0,-95.85253899999952,0,-95.85253899999952,0,-119.81542900000022,0,-239.63085899999987,0,-215.66796800000066,0,-311.5209960000002,0,-167.74218699999983,0,-167.74218699999983,0,-167.74218699999983,0,-95.85253899999952,0,-95.85253899999952,0,-143.77880799999912,0,-167.74218699999983,0
"Sempat Ambruk 1% Lebih, IHSG Sesi I Terkoreksi 0,58%",2020-01-06,8123.510742,7913300.0,-23.962890000000698,0,-143.77832000000035,0,-119.81542900000113,0,-215.66845700000067,0,-71.8896480000003,0,-71.8896480000003,0,-71.8896480000003,0,0.0,0,0.0,0,-47.92626899999959,0,-71.8896480000003,0,-143.77832000000035,0,-143.77832000000035,0,-143.77832000000035,0
Simak Saham Rekomendasi Broker Setelah Iran Serang AS,2020-01-08,7979.732422,8261400.0,23.962890999999217,1,-71.89013700000032,0,71.88867200000004,1,71.88867200000004,1,71.88867200000004,1,143.77832000000035,1,143.77832000000035,1,95.85205100000076,1,71.88867200000004,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.963378999998895,0
"Penjualan Ritel Lesu, Langkah IHSG jadi Kurang Meyakinkan",2020-01-10,7907.842285,14849800.0,143.77880900000036,1,143.77880900000036,1,143.77880900000036,1,215.66845700000067,1,215.66845700000067,1,167.74218800000108,1,143.77880900000036,1,71.89013700000032,1,71.89013700000032,1,71.89013700000032,1,71.89013700000032,1,47.92675800000143,1,71.89013700000032,1,-71.88915999999972,0
"Dibebani Lesunya Penjualan Ritel, IHSG Hanya Bisa Naik Tipis",2020-01-10,7907.842285,14849800.0,143.77880900000036,1,143.77880900000036,1,143.77880900000036,1,215.66845700000067,1,215.66845700000067,1,167.74218800000108,1,143.77880900000036,1,71.89013700000032,1,71.89013700000032,1,71.89013700000032,1,71.89013700000032,1,47.92675800000143,1,71.89013700000032,1,-71.88915999999972,0
"Penjualan Ritel Lesu, Saham Konsumer Dilego Pelaku Pasar",2020-01-10,7907.842285,14849800.0,143.77880900000036,1,143.77880900000036,1,143.77880900000036,1,215.66845700000067,1,215.66845700000067,1,167.74218800000108,1,143.77880900000036,1,71.89013700000032,1,71.89013700000032,1,71.89013700000032,1,71.89013700000032,1,47.92675800000143,1,71.89013700000032,1,-71.88915999999972,0
"Kabar Baik AS-China, Simak Rekomendasi Saham Hari Ini",2020-01-14,8123.510742,11761100.0,0.0,0,-47.92626899999959,0,-71.8896480000003,0,-143.77832000000035,0,-143.77832000000035,0,-143.77832000000035,0,-143.77832000000035,0,-167.74169899999924,0,-143.77832000000035,0,-287.5576170000004,0,-191.70507799999996,0,-191.70507799999996,0,-191.70507799999996,0,-215.66845700000067,0
